ip,status,bytes_sent,hour,day_of_week,is_night,is_api_call,is_admin_call,endpoint_length,is_error,is_success,is_redirect,ua_length,ua_is_missing,ua_has_bot_like_keyword,ua_has_browser_keyword,referrer_is_missing,referrer_is_internal,ml_pred,final_prediction
45.156.87.165,404,162,4,2,1,0,0,106,1,0,0,37,0,0,1,1,0,1,1
27.34.66.95,200,601,4,2,1,0,0,9,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,336,4,2,1,0,0,23,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,1427,4,2,1,0,0,29,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,586,4,2,1,0,0,22,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,18052,4,2,1,0,0,11,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,2404787,4,2,1,0,0,27,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,663820,4,2,1,0,0,33,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,403,65,4,2,1,1,0,15,1,0,0,111,0,0,1,1,0,1,1
27.34.66.95,200,16066,4,2,1,0,0,18,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,67,4,2,1,1,0,13,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,325914,4,2,1,0,0,59,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,102868,4,2,1,0,0,52,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,106140,4,2,1,0,0,51,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,98868,4,2,1,0,0,54,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,104332,4,2,1,0,0,52,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,980,4,2,1,0,0,14,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,206,2375153,4,2,1,0,0,46,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,206,34503,4,2,1,0,0,46,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,206,3770055,4,2,1,0,0,46,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,401,28,4,2,1,1,0,13,1,0,0,111,0,0,1,1,0,1,1
27.34.66.95,204,0,4,2,1,1,0,13,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,67,4,2,1,1,0,13,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,2145,4,2,1,1,0,15,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,329,4,2,1,1,0,15,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,329,4,2,1,1,0,15,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,74190,4,2,1,0,0,31,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,64502,4,2,1,0,0,32,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,509371,4,2,1,0,0,32,0,1,0,111,0,0,1,0,0,0,0
27.34.66.95,200,3,4,2,1,1,0,34,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,24,4,2,1,1,0,39,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,473,4,2,1,1,0,28,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,473,4,2,1,1,0,28,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,473,4,2,1,1,0,28,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,3,4,2,1,1,0,33,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,24,4,2,1,1,0,38,0,1,0,111,0,0,1,1,0,1,1
27.34.66.95,200,119,4,2,1,1,0,27,0,1,0,111,0,0,1,1,0,1,1
